1, 3821669.600000, 1737209.329328
2, 3482450.400000, 1868962.723008
3, 2742531.000000, 76023.762864
4, 3208534.200000, 1104172.277686
5, 5333329.400000, 103126.588450
6, 6229468.000000, 1703053.546461
7, 6861214.600000, 1728738.322861
8, 6942095.000000, 1165499.999386
9, 8268458.400000, 267257.854561
10, 9424654.000000, 1135461.537529
11, 9150691.800000, 1233394.708376
12, 11235422.000000, 1167412.951789
13, 10952436.800000, 1061554.244657
14, 10899153.400000, 749808.595870
15, 11828687.000000, 1991154.812221
16, 11276397.800000, 1087565.030417
17, 13225401.800000, 376561.313215
18, 15366630.400000, 1895762.846601
19, 14792973.800000, 1324500.425814
20, 15147171.000000, 1681002.147116
21, 16203820.800000, 715527.492997
22, 17754606.000000, 1399451.989208
23, 18873653.800000, 2439024.522733
24, 17542111.800000, 1630108.399833
25, 19044555.200000, 976775.256603
26, 21991724.400000, 1524413.400373
27, 20911865.600000, 2492774.681772
28, 23059592.000000, 1541886.703878
29, 21364069.200000, 738090.457781
30, 23549764.800000, 854857.726886
31, 23129668.600000, 1201278.727199
32, 25865830.200000, 2281094.589624
